coordenadas,Record Count
"25.7004901, -100.3320824",1
"25.6878142, -100.3495993",1
"25.672915, -100.352657",1
"25.69874572, -100.3605245",1
"25.63437686, -100.3012556",1
"25.65557031, -100.2937979",1
"25.676624, -100.310334",1
"25.72460986, -100.3258894",1
"25.6973857, -100.3818859",1
"25.68577386, -100.3304558",1
"25.70570252, -100.2681787",1
"25.63013797, -100.2991959",1
"25.67839655, -100.3266012",1
"25.65542591, -100.2789805",1
"25.70021898, -100.3101926",1
"25.7103297, -100.3068374",1
"25.7211191, -100.3880102",1
"25.68733194, -100.3446925",1
"25.75151562, -100.3890234",1
"25.67022083, -100.2945362",1
"25.67737811, -100.3092688",1
"25.69148637, -100.2776723",1
"25.7561048, -100.3527225",1
"25.68764925, -100.347135",1
"25.756056, -100.403344",1
"25.69213368, -100.345509",1
"25.679625, -100.297458",1
"25.69431594, -100.3578382",1
"25.68515552, -100.3549637",1
"25.71988411, -100.3583327",1
"25.7369756, -100.3324932",1
"25.716528, -100.3477079",1
"25.57845794, -100.2489155",1
"25.67601751, -100.336508",1
"25.65665772, -100.304036",1
"25.638931, -100.307002",1
"25.63426038, -100.295417",1
"25.70648878, -100.3093881",1
"25.6378177, -100.3111577",1
"25.63969052, -100.3141422",1
"25.6858783, -100.2682927",1
"25.72196143, -100.3328177",1
"25.67463943, -100.3971212",1
"25.65300011, -100.2819805",1
"25.7354446, -100.3206246",1
"25.66764935, -100.3331783",1
"25.67501915, -100.3108219",1
"25.67267572, -100.3594687",1
"25.63766037, -100.3094754",1
"25.6670188, -100.3108192",1
"25.74152374, -100.3426496",1
"25.75782181, -100.414629",1
"25.659011, -100.3015863",1
"25.66593069, -100.3348231",1
"25.73654398, -100.3501078",1
"25.67718832, -100.2916169",1
"25.76270583, -100.3611128",1
"25.7073335, -100.3173418",1
"25.68485694, -100.3218804",1
"25.684243, -100.340125",1
"25.7460912, -100.3531865",1
"25.67640555, -100.3084273",1
"25.65771148, -100.3048309",1
"25.70091986, -100.3357159",1
"25.70137042, -100.3511833",1
"25.74993835, -100.388988",1
"25.7536355, -100.4029728",1
"25.68144328, -100.3136855",1
"25.68055758, -100.3137924",1
"25.73196609, -100.3516672",1
"25.70312353, -100.3522979",1
"25.75482466, -100.3935243",1
"25.6968046, -100.3545916",1
"25.6994429, -100.3413691",1
"25.69322208, -100.3563207",1
"25.6979564, -100.3114996",1
"25.6882198, -100.259581",1
"25.66649689, -100.3174729",1
"25.69569989, -100.3443874",1
"25.7185732, -100.35828",1
"25.68236775, -100.3066663",1
"25.66367145, -100.302541",1
"25.68705766, -100.3254328",1
"25.68246925, -100.3231474",1
"25.71113306, -100.3715649",1
"25.7955038, -100.3808159",1
